address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
80 Main Street P. O. Box 129,South West,Golden Dawn Senior Citizen Home,,Non-Profit,No,Yes,Yes,No,Lion's Head, N0H1W0,45.0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,golden dawn nursing home,<5,0,0,Active,Northern Bruce Peninsula,3541069.0,35.0,44.98706902,-81.25537981
481 Melrose Boulevard,North East,Corporation Of The City Of Timmins,,Municipal,Yes,Yes,Yes,Yes,Timmins, P4N5H3,177.0,21.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,golden manor,<5,0,0,Active,Timmins,3556027.0,35.0,48.48606627,-81.34352493
983 Burnham Street,Central East,The Corporation Of The County Of Northumberland,,Municipal,No,Yes,Yes,Yes,Cobourg, K9A5J6,151.0,62.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,golden plough lodge,,,,,Cobourg,3514021.0,35.0,43.974493700000004,-78.19501703
704 Eagle Street North P.O. Box 3277,Waterloo Wellington,Golden Years Nursing Homes (Cambridge) Inc.,,For-Profit,No,Yes,Yes,No,Cambridge, N3H4T3,90.0,56.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,golden years nursing home,0,0,<5,Active,Cambridge,3530010.0,35.0,43.4042795,-80.35454667
481 Victoria Street East,Central,Clurelea Ltd.,,For-Profit,No,Yes,No,Yes,Alliston, L9R1J8,64.0,14.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,good samaritan nursing home,,,,,New Tecumseth,3543007.0,35.0,44.15888285,-79.84546178
45 Kingknoll Drive,Central West,Holland Christian Homes Inc.,,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P2,120.0,33.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,grace manor,42,11,25,Active,Brampton,3521010.0,35.0,43.65294337,-79.74143790000001
45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),Grace Villa Limited,Apans Health Services,For-Profit,No,Yes,No,Yes,Hamilton, L8V4V5,184.0,79.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,grace villa nursing home,0,0,<5,Active,Hamilton,3525005.0,35.0,43.21147629,-79.84709659
657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Haldimand County,,Municipal,No,Yes,Yes,Yes,Dunnville, N1A1V9,128.0,37.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,grandview lodge / dunnville,,,,,Haldimand County,3528018.0,35.0,42.90834644,-79.63401540000001
5501 Abbott Street East,Champlain,Specialty Care Ottawa Inc.,,For-Profit,No,Yes,Yes,Yes,Stittsville, K2S2C5,224.0,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,granite ridge care community,,,,,Ottawa,3506008.0,35.0,45.26988372,-75.90499269
90 Greenwood Drive,South West,Tri-county Mennonite Homes,,Non-Profit,No,Yes,No,No,Stratford, N5A7W5,45.0,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,greenwood court,,<5,,Inactive,Stratford,3531011.0,35.0,43.38294686,-80.97615776
206 Toronto Street South,South West,Corporation Of The County Of Grey,,Municipal,No,Yes,Yes,No,Markdale, N0C1H0,66.0,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,grey gables home for the aged,,,,,Grey Highlands,3542015.0,35.0,44.31396564,-80.64029685
234 Cook Street,North Simcoe Muskoka,Grove Park Home For Senior Citizens,,Non-Profit,No,Yes,No,Yes,Barrie, L4M4H5,143.0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,grove park home for senior citizens,,,,,Barrie,3543042.0,35.0,44.406020700000006,-79.66946724
470 Raglan Street North,Champlain,Gem Health Care Group Limited,,For-Profit,Yes,Yes,Yes,Yes,Renfrew, K7V1P5,90.0,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,groves park lodge,,,,,Renfrew,3547048.0,35.0,45.48151172,-76.69696907
"R.R. #2, 603 Highway 49 Hallowell Township",South East,County Of Prince Edward,,Municipal,No,Yes,Yes,Yes,Picton, K0K2T0,84.0,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,h.j. mcfarland memorial home,,,,,Prince Edward County,3513020.0,35.0,44.02513295,-77.13549939
13628 Loyalist Parkway,South East,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,97.0,41.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,hallowell house,,0,,Inactive,Prince Edward County,3513020.0,35.0,43.99421064,-77.1810053
125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),Schlegel Villages Inc.,,For-Profit,No,Yes,No,Yes,Hamilton, L8N2Z1,64.0,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,hamilton continuing care,,,,,Hamilton,3525005.0,35.0,43.24791349,-79.8504795
75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),Unger Nursing Homes Limited,,For-Profit,No,Yes,Yes,Yes,Burlington, L7T1E8,101.0,31.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,hampton terrace care centre,,0,,Inactive,Burlington,3524002.0,35.0,43.3054339,-79.8554984
700-19th Avenue,South West,Hanover Nursing Home Limited,,For-Profit,No,Yes,No,No,Hanover, N4N3S6,41.0,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,hanover care centre,,,,,Hanover,3542029.0,35.0,44.15991379,-81.01744915
612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),"Diversicare Canada Management Services Co., Inc.",,For-Profit,Yes,Yes,Yes,Yes,Brantford, N3T5L5,101.0,45.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,hardy terrace,,,,,Brant,3529005.0,35.0,43.0876862,-80.3068167
1800 O'Connor Drive,Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Toronto, M4A1W7,160.0,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,harmony hills care community,,,,,Toronto,3520005.0,35.0,43.7205599,-79.30496586
1 Northwestern Avenue,Central,Harold And Grace Baker Centre,Revera Long Term Care Inc.,Non-Profit,No,Yes,Yes,Yes,Toronto, M6M2J7,120.0,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,harold and grace baker centre,8,13,17,Active,Toronto,3520005.0,35.0,43.69821459,-79.46978092
1 Manor Lane P.O. Box 758,South East,The Corporation Of The County Of Hastings,,Municipal,Yes,Yes,Yes,Yes,Bancroft, K0L1C0,110.0,33.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings centennial manor,,,,,Bancroft,3512061.0,35.0,45.0550849,-77.86421482
476 Dundas Street West P.O. Box 458,South East,The Corporation Of The County Of Hastings,,Municipal,Yes,Yes,Yes,Yes,Belleville, K8N5B2,253.0,71.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings manor home for the aged,6,<5,5,Active,Belleville,3512005.0,35.0,44.14751276,-77.41249679
9257 Goreway Drive,Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Brampton, L6P0N5,160.0,58.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,hawthorn woods care community,,,,,Brampton,3521010.0,35.0,43.75755779,-79.68888879
2045 Finch Avenue West,Central,Rykka Care Centres Lp,,For-Profit,Yes,Yes,Yes,Yes,North York, M3N1M9,269.0,85.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,hawthorne place care centre,45,31,77,Active,Toronto,3520005.0,35.0,43.7562352,-79.52146844
201-11th Street East,Champlain,Heartwood Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Cornwall, K6H2Y6,118.0,39.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,heartwood (fka versa-care cornwall),,,,,,,,,
600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),"Benevolent Society ""heidehof"" For The Care Of The Aged",,Non-Profit,No,Yes,No,No,St. Catharines, L2N4J4,106.0,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,heidehof long term care home,,,,,St. Catharines,3526053.0,35.0,43.19665771,-79.251902
343 Amherst Drive,South East,Gibson Holdings (Ontario) Ltd.,,For-Profit,No,Yes,Yes,Yes,Amherstview, K7N1X3,104.0,59.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,helen henderson nursing home,,,,,Loyalist,3511005.0,35.0,44.22539531,-76.66374476
215 Tyrrel Avenue,Toronto Central,Hellenic Care For Seniors (Toronto) Inc.,,Non-Profit,No,Yes,No,Yes,Toronto, M6G4A9,81.0,20.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,hellenic care for seniors (toronto),,,,,Toronto,3520005.0,35.0,43.67679399,-79.43034200000001
2411 Lawrence Avenue East,Central East,Hellenic Home For The Aged Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4X1,128.0,38.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,hellenic home - scarborough,44,14,21,Active,Toronto,3520005.0,35.0,43.74876471,-79.27408486
1961 Cedarhollow Blvd,South West,Henley Place Limited,Primacare Living Solutions Inc.,For-Profit,No,Yes,Yes,Yes,London, N5X0K2,192.0,61.0,"(46.0, 172.0]",3.0,43.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,henley place,<5,0,0,Active,London,3539036.0,35.0,43.04540679,-81.21472021
353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Heritage Green Nursing Home,,Non-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J2J3,167.0,61.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,heritage green nursing home,0,<5,0,Active,Hamilton,3525005.0,35.0,43.19352179,-79.78959737
11550 McNorton Street,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,No,Yes,No,Yes,Windsor, N8P1T9,140.0,87.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,heron terrace long term care community,46,23,14,Active,Windsor,3537039.0,35.0,42.31721678,-82.89932307
7199 Gelert Road P.O. Box 115,Central East,Haliburton Highlands Health Services Corporation,,Non-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,30.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,highland wood,,,,,Dysart et al,3546024.0,35.0,45.03824146,-78.52941943
255 Russell Street,North Simcoe Muskoka,Hillcrest Village Inc.,,For-Profit,No,Yes,Yes,Yes,Midland, L4R5L6,164.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,hillcrest village care centre,,,,,Midland,3543074.0,35.0,44.75357305,-79.87963994
10 Nadolny Sachs Private,Champlain,The Ottawa Jewish Home For The Aged,,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2A4G7,121.0,47.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,hillel lodge,,,,,Ottawa,3506008.0,35.0,45.37622944,-75.75281145
590 Oshawa Blvd. North,Central East,Regional Municipality Of Durham,,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,300.0,52.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,hillsdale estates,,,,,Oshawa,3518013.0,35.0,43.91384855,-78.86330374
600 Oshawa Blvd. North,Central East,Regional Municipality Of Durham,,Municipal,No,Yes,Yes,Yes,Oshawa, L1G5T9,200.0,57.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,hillsdale terraces,,13,,Inactive,Oshawa,3518013.0,35.0,43.91500165,-78.86454214
R. R. #5,South West,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Stratford, N5A6S6,90.0,29.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,hillside manor,,0,,Inactive,Perth East,3531030.0,35.0,43.424534200000004,-81.09831679999999
1005 St Lawrence Street P.O. Box 430,South East,Hilltop Manor Nursing Home,,For-Profit,No,Yes,Yes,No,Merrickville, K0G1N0,60.0,41.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,hilltop manor nursing home (merrickville),,,,,Merrickville-Wolford,3507052.0,35.0,44.90918586,-75.83453904
300 Lillie Street,North West,St. Joseph's Care Group,Extendicare (Canada) Inc.,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7C4Y7,543.0,84.0,"(46.0, 172.0]",3.0,62.0,"(23.0, 86.0]",3.0,33.0,"(11.0, 44.0]",3.0,hogarth riverview manor,0,0,<5,Active,Thunder Bay,3558004.0,35.0,48.38712316,-89.27025117
20 Hope Street South,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,No,Yes,Port Hope, L1A2M8,97.0,41.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,hope street terrace,,,,,Port Hope,3514020.0,35.0,43.95459039,-78.28837976
278 Front Street P.O. Box 190,North East,Hornepayne Community Hospital,,Non-Profit,No,No,No,Yes,Hornepayne, P0M1Z0,12.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,hornepayne community hospital,,,,,Hornepayne,3557096.0,35.0,49.212827000000004,-84.774059
95 Humber College Blvd.,Central West,Humber Valley Terrace Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Rexdale, M9V5B5,158.0,34.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,humber valley terrace,46,9,18,Active,Toronto,3520005.0,35.0,43.72717599,-79.59650396
1881 Cabana Road West,Erie St. Clair,Corporation Of The City Of Windsor,,Municipal,Yes,Yes,No,Yes,Windsor, N9G1C7,224.0,44.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,huron lodge long term care home,,,,,Windsor,3537039.0,35.0,42.25323436,-83.0236891
820 Turnberry Street South,South West,Corporation Of The County Of Huron,,Municipal,No,Yes,Yes,No,Brussels, N0G1H0,64.0,25.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,huronlea home for the aged,,,,,Morris-Turnberry,3540050.0,35.0,43.73846151,-81.25635699
77722A London Road R.R. #5,South West,Corporation Of The County Of Huron,,Municipal,No,Yes,Yes,No,Clinton, N0M1L0,120.0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,huronview home for the aged,,,,,Huron East,3540040.0,35.0,43.598187100000004,-81.53130859999999
6 McPherson Street P.O. Box 30,Central East,Haliburton Highlands Health Services Corporation,,Municipal,Yes,Yes,Yes,Yes,Minden, K0M2K0,62.0,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,hyland crest,,,,,Minden Hills,3546015.0,35.0,44.92594814,-78.72985369
449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Idlewyld Manor,,Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C2A7,192.0,58.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,idlewyld manor,<5,0,0,Active,Hamilton,3525005.0,35.0,43.23618909,-79.91485732
111 Iler Avenue,Erie St. Clair,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Essex, N8M1T6,104.0,106.0,"(46.0, 172.0]",3.0,47.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,iler lodge,,,,,Essex,3537016.0,35.0,42.17030086,-82.82364113
40 Bell Estate Road,Central East,Ina Grafton Gage Home Of Toronto,,Non-Profit,No,No,Yes,Yes,Scarborough, M1L0E2,128.0,59.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,ina grafton gage home,43,26,30,Active,Toronto,3520005.0,35.0,43.705765,-79.27714255
10 Brooks Street,North Simcoe Muskoka,Ioof Seniors Homes Inc.,,Non-Profit,Yes,Yes,Yes,No,Barrie, L4N7X2,188.0,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,ioof seniors home,,0,,Inactive,Barrie,3543042.0,35.0,44.3686217,-79.68736455
1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Six Nations Of The Grand River,,Non-Profit,Yes,Yes,Yes,Yes,Ohsweken, N0A1M0,50.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,iroquois lodge nursing home,,,,,Six Nations (Part) 40,3529020.0,35.0,43.07299235,-80.11640017
155 Millwood Road,Toronto Central,The Governing Council Of The Salvation Army In Canada,,Non-Profit,No,Yes,Yes,Yes,Toronto, M4S1J6,168.0,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,isabel and arthur meighen manor,61,42,45,Active,Toronto,3520005.0,35.0,43.70000099,-79.39254279
767 Royal York Road,Toronto Central,Ukrainian Home For The Aged,,Non-Profit,No,Yes,Yes,Yes,Toronto, M8Y2T3,85.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,ivan franko home (etobicoke),0,0,<5,Active,Toronto,3520005.0,35.0,43.63771778,-79.50673762
97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),The John Noble Home,,Municipal,No,Yes,Yes,Yes,Brantford, N3T1T5,156.0,25.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,john noble home,,,,,Brantford,3529006.0,35.0,43.12596315,-80.27606552
2675 Concession Road P. O. Bag 2007,Champlain,Kemptville District Hospital,,Non-Profit,Yes,Yes,Yes,Yes,Kemptville, K0G1J0,12.0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,kemptville district hospital,,,,,North Grenville,3507065.0,35.0,45.0099179,-75.64134820000001
1400 Kennedy Road,Central East,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4V6,289.0,25.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,kennedy lodge,,,,,Toronto,3520005.0,35.0,43.76265941,-79.28056556
1340 Huron Street,South West,Sharon Farms & Enterprises Limited,,For-Profit,Yes,Yes,Yes,Yes,London, N5V3R3,126.0,69.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,3.0,"(0.0, 5.0]",0.0,kensington village,<5,5,<5,Active,London,3539036.0,35.0,43.02140839,-81.21450391
2 Ontario Street,South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,45.0,27.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,kentwood park,,,,,Prince Edward County,3513020.0,35.0,44.00244715,-77.14847409
83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Grimsby, L3M1N6,50.0,16.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,kilean lodge,,,,,Grimsby,3526065.0,35.0,43.19121,-79.5554741
146 Fog Road,Central,Poranganel Holdings Limited,,For-Profit,No,Yes,Yes,Yes,King City, L7B1A3,36.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,king city lodge nursing home,,,,,King,3519049.0,35.0,43.97147063,-79.55151987
49 Sterne Street,Central West,King Nursing Home Limited,,For-Profit,Yes,Yes,Yes,Yes,Bolton, L7E1B9,86.0,55.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,king nursing home,,,,,Caledon,3521024.0,35.0,43.87933771,-79.74065452
310 Queen Street East R.R. #6,South West,Kingsway Nursing Homes Limited,,For-Profit,Yes,Yes,Yes,No,St. Marys, N4X1C8,63.0,19.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,kingsway lodge nursing home,,,,,St. Marys,3531016.0,35.0,43.25961363,-81.1354479
2233 Kipling Avenue,Central West,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9W4L3,337.0,41.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,kipling acres,53,13,11,Active,Toronto,3520005.0,35.0,43.72574509,-79.57339555
50 William Street,South West,Knollcrest Lodge,,Non-Profit,Yes,Yes,Yes,No,Milverton, N0K1M0,78.0,14.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,knollcrest lodge,,,,,Perth East,3531030.0,35.0,43.5706561,-80.92082216
11290 Pine Valley Drive,Central,Kristus Darzs Latvian Home,,Non-Profit,Yes,Yes,No,No,Woodbridge, L4L1A6,100.0,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,kristus darzs latvian home,21,7,17,Active,Vaughan,3519028.0,35.0,43.87156441,-79.59579547
5 Resurrection Road,Mississauga Halton,Labdara Foundation,Assured Care Consulting Inc.,Non-Profit,No,Yes,Yes,No,Toronto, M9A5G1,90.0,19.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,labdara lithuanian nursing home,,0,,Inactive,Toronto,3520005.0,35.0,43.64373408,-79.53092513
17 Government Road P.O. Box 179,North East,Lady Dunn Health Centre,,Non-Profit,Yes,Yes,Yes,Yes,Wawa, P0S1K0,16.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lady dunn health centre (wawa),,,,,Wawa,3557076.0,35.0,47.999790000000004,-84.77191449
102 Corkery Street P.O. Box 10,North East,Lady Isabelle Nursing Home Ltd.,Responsive Health Management Inc.,For-Profit,Yes,Yes,Yes,No,Trout Creek, P0H2L0,66.0,65.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,,,,lady isabelle nursing home,,,,,,,,,
6 Albert Street,North East,West Parry Sound Health Centre,,Non-Profit,No,No,No,No,Parry Sound, P2A3A4,20.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,lakeland long term care (eldcap),,,,,Parry Sound,3549032.0,35.0,45.3407019,-80.01766090000001
6 Albert Street,North East,Lakeland Long Term Care Services Corporation,,Non-Profit,No,Yes,No,No,Parry Sound, P2A3A4,90.0,23.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,lakeland long term care services,,,,,Parry Sound,3549032.0,35.0,45.340765999999995,-80.01767199999999
3197 Lakeshore Blvd. West,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,No,Yes,Yes,Yes,Etobicoke, M8V3X5,150.0,14.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lakeshore lodge,41,11,17,Active,Toronto,3520005.0,35.0,43.59721667,-79.51845532
150 Dunn Avenue,Toronto Central,Toronto Rehabilitation Institute,Extendicare (Canada) Inc.,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6K2R6,128.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,lakeside long term care centre,,,,,Toronto,3520005.0,35.0,43.636584,-79.43316800000001
133 Main Street P.O. Box 514,Central East,Regional Municipality Of Durham,,Municipal,Yes,Yes,Yes,Yes,Beaverton, L0K1A0,149.0,30.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,lakeview manor,,0,,Inactive,Brock,3518039.0,35.0,44.42747763,-79.16356588
3958 Petrolia Line R. R. #4,Erie St. Clair,The Corporation Of The County Of Lambton,,Municipal,No,Yes,Yes,No,Petrolia, N0N1R0,125.0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,lambton meadowview villa,,0,,Inactive,Enniskillen,3538016.0,35.0,42.88448582,-82.16482359
46 Lanark Crescent,Waterloo Wellington,Steeves & Rozema Enterprises Limited,,For-Profit,No,Yes,Yes,Yes,Kitchener, N2N2Z8,160.0,82.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,lanark heights long term care centre,<5,<5,<5,Active,Kitchener,3530013.0,35.0,43.42436319,-80.53544803
