,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
493,125 Redfern Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C7W9,37,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,st. peter's residence at chedoke,,,,,Hamilton,3525005,210,43.24,-79.92
494,"244 Main Street East 7308 Highway #26, P.O. Box 350",North Simcoe Muskoka,For-Profit,No,Yes,No,No,Stayner, L0M1S0,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,stayner care centre,,,,,Clearview,3543005,49,44.42,-80.09
495,200 Stirling Macgregor Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N1S5B7,23,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,stirling heights,,0,,Inactive,Cambridge,3530010,110,43.34,-80.33
496,218 Edward Street P.O. Box 220,South East,For-Profit,No,Yes,No,Yes,Stirling, K0K3E0,35,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,stirling manor nursing home,,,,,Stirling-Rawdon,3512020,75,44.30,-77.55
497,256 High Street,Champlain,For-Profit,No,Yes,Yes,Yes,Carleton Place, K7C1X1,27,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,stoneridge manor,52,6,<5,Active,Carleton Place,3509028,60,45.14,-76.15
498,75 Fifth Avenue,North West,Non-Profit,No,Yes,No,Yes,Sioux Lookout, P8T1K9,12,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,"william a. ""bill"" george extended care facility",,,,,,,20,50.11,-91.92
499,599 Albert Street Box 5000,South West,Municipal,Yes,Yes,Yes,No,Strathroy, N7G3J3,42,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,strathmere lodge,,,,,Strathroy-Caradoc,3539015,160,42.96,-81.64
500,19 James Street West,Central East,For-Profit,No,Yes,No,Yes,Cobourg, K9A2J8,24,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,streamway villa,,,,,Cobourg,3514021,59,43.96,-78.17
501,1742 Bristol Road West,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M1X9,22,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,streetsville care community,,,,,Mississauga,3521005,118,43.58,-79.71
502,1464 Blackwell Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S5M4,60,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,sumac lodge,,0,,Inactive,Sarnia,3538030,100,43.01,-82.35
503,850-4Th Street East,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6A3,29,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,summit place,,,,,Owen Sound,3542059,119,44.56,-80.93
504,175 Talbot Street East,Erie St. Clair,Municipal,No,Yes,Yes,No,Leamington, N8H1L9,54,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,11,"(7.0, 11.0]",2,sun parlor home for senior citizens,<5,<5,<5,Active,Leamington,3537003,206,42.06,-82.59
505,1635 Dundas Street East,Central East,For-Profit,No,Yes,Yes,Yes,Whitby, L1N2K9,55,"(46.0, 172.0]",3,19,"(16.0, 23.0]",2,4,"(0.0, 5.0]",0,sunnycrest nursing home,<5,0,0,Active,Whitby,3518009,136,43.89,-78.91
506,247 Franklin Street North,Waterloo Wellington,Municipal,Yes,Yes,Yes,Yes,Kitchener, N2G4J3,83,"(46.0, 172.0]",3,40,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,sunnyside home,,,,,Kitchener,3530013,263,43.44,-80.45
507,49 Raglan Street,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,Collingwood, L9Y4X1,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,sunset manor home for senior citizens,,,,,Collingwood,3543031,150,44.50,-80.20
508,795 Eglinton Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,No,Toronto, M4G4E4,14,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,suomi-koti toronto nursing home,,,,,Toronto,3520005,34,43.71,-79.37
509,1001 Peter Robertson Blvd.,Central West,Municipal,No,Yes,Yes,Yes,Brampton, L6R2Y3,28,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,tall pines long term care centre,<5,0,<5,Active,Brampton,3521010,160,43.75,-79.74
510,145A Government Road East Postal Bag Service 1757,North East,Municipal,No,Yes,Yes,Yes,Kirkland Lake, P2N3P4,29,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,teck pioneer residence,,,,,Kirkland Lake,3554068,81,48.15,-80.01
511,245 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Paris, N3L3V8,27,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,telfer place,<5,0,0,Active,Brant,3529005,45,43.21,-80.39
512,100 Bruce Street P.O. Box 1180,North East,For-Profit,Yes,Yes,Yes,Yes,Haileybury, P0J1K0,21,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,temiskaming lodge,<5,0,<5,Active,Temiskaming Shores,3554020,83,47.44,-79.63
513,1020 McNicoll Avenue,Central East,For-Profit,No,Yes,No,Yes,Scarborough, M1W2J6,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,tendercare living centre,,<5,,Inactive,Toronto,3520005,254,43.81,-79.34
514,475 Talbot Street East 49462 Talbot Line,South West,Municipal,Yes,Yes,Yes,No,Aylmer, N5H3A5,33,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,terrace lodge,,,,,Malahide,3534010,100,42.77,-80.97
515,"c/o Chapleau General Hospital P. O. Box 757, 6 Broomhead Road",North East,Non-Profit,Yes,Yes,No,Yes,Chapleau, P0M1K0,11,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,the bignucolo residence,,,,,Chapleau,3552092,18,47.84,-83.41
516,170 Metcalfe Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Guelph, N1E4Y3,24,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,the elliott long term care residence,,,,,Guelph,3523008,85,43.56,-80.25
517,3063 Adelaide Street,South West,For-Profit,No,Yes,Yes,Yes,Fordwich, N0G1V0,18,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,the fordwich village nursing home,,,,,Howick,3540046,33,43.87,-81.03
518,117 Banting Drive,Champlain,Non-Profit,No,Yes,No,Yes,Deep River, K0J1P0,12,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,the four seasons lodge,,,,,Deep River,3547096,14,46.09,-77.48
519,275 Ida Street North,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Arnprior, K7S3M7,18,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,"the grove, arnprior and district nursing home",,,,,Arnprior,3547002,61,45.44,-76.36
520,20 Ernest Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,St. Catharines, L2N7T2,54,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,12,"(11.0, 44.0]",3,the henley house,0,0,0,Active,St. Catharines,3526053,160,43.18,-79.26
521,1195 Queen Street East,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M4M1L6,24,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,the heritage nursing home,,,,,Toronto,3520005,201,43.66,-79.33
522,3560 Bathurst Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,North York, M6A2E1,48,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,the jewish home for the aged,<5,<5,6,Active,Toronto,3520005,472,43.73,-79.43
523,309 Bridge Street West,South East,Municipal,Yes,Yes,Yes,Yes,Napanee, K7R2G4,30,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,the john m. parrott centre,,,,,Greater Napanee,3511015,168,44.24,-76.97
524,25 Brunswick Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M5S2L9,39,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,the kensington gardens,14,8,5,Active,Toronto,3520005,350,43.66,-79.40
525,94 William Street South P.O. Box 400,South West,For-Profit,No,Yes,Yes,Yes,Tavistock, N0B2R0,23,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,the maples home for seniors,,,,,East Zorra-Tavistock,3532038,43,43.32,-80.84
526,198 Mornington Street,South West,For-Profit,Yes,Yes,No,Yes,Stratford, N5A5G3,7,"(0.0, 21.0]",0,,,,,,,people care centre,,,,,,,60,43.38,-80.98
527,6623 Kalar Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Niagara Falls, L2H2T3,19,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,the meadows of dorchester,,,,,Niagara Falls,3526043,121,43.08,-79.14
528,365 West Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Simcoe, N3Y1T7,12,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,the norfolk hospital nursing home,,,,,Norfolk County,3528052,80,42.84,-80.31
529,33 Christie Street,Toronto Central,For-Profit,Yes,Yes,No,Yes,Toronto, M6G3B1,27,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,the o'neill centre,<5,0,<5,Active,Toronto,3520005,162,43.66,-79.42
530,92 Centre Street,Champlain,For-Profit,No,Yes,Yes,Yes,Alexandria, K0C1A0,37,"(31.0, 46.0]",2,30,"(23.0, 86.0]",3,18,"(11.0, 44.0]",3,the palace,,,,,North Glengarry,3501050,70,45.31,-74.63
531,1750 Russell Road,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Ottawa, K1G5Z6,88,"(46.0, 172.0]",3,49,"(23.0, 86.0]",3,18,"(11.0, 44.0]",3,the perley and rideau veterans' health centre,9,8,16,Active,Ottawa,3506008,450,45.40,-75.64
532,98 Pine Street,North Simcoe Muskoka,Municipal,No,Yes,No,Yes,Bracebridge, P1L1N5,13,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,the pines,,,,,Bracebridge,3544018,160,45.05,-79.30
533,1156 Wellington Street,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1Y2Z3,63,"(46.0, 172.0]",3,36,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,the salvation army ottawa grace manor,,,,,Ottawa,3506008,128,45.40,-75.73
534,689 Yonge Street,North Simcoe Muskoka,For-Profit,Yes,Yes,No,Yes,Midland, L4R2E1,29,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,12,"(11.0, 44.0]",3,the villa care centre,,,,,Midland,3543074,114,44.74,-79.89
535,1800 Talbot Road,Erie St. Clair,For-Profit,No,No,No,No,Windsor, N9A6S4,62,"(46.0, 172.0]",3,59,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,the village at st. clair,0,0,<5,Active,Windsor,3537039,256,42.24,-83.01
536,250 LAURELWOOD DRIVE,Waterloo Wellington,For-Profit,No,No,No,No,WATERLOO, N2J0E2,15,"(0.0, 21.0]",0,15,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,the village at university gates,0,0,<5,Active,Waterloo,3530016,192,43.48,-80.57
537,166 Pleasant Drive P.O. Box 94,South East,For-Profit,No,Yes,Yes,Yes,Selby, K0K2Z0,28,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,the village green nursing home,,,,,Greater Napanee,3511015,66,44.30,-76.98
538,9855 McHugh Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N8P0A6,92,"(46.0, 172.0]",3,44,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,the village of aspen lake,,,,,Windsor,3537039,192,42.32,-82.92
539,2930 Erin Centre Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5M7M4,51,"(46.0, 172.0]",3,20,"(16.0, 23.0]",2,16,"(11.0, 44.0]",3,the village of erin meadows,43,9,21,Active,Mississauga,3521005,180,43.55,-79.72
540,3030 Singleton Avenue,South West,For-Profit,No,No,No,Yes,London, N6L0B6,108,"(46.0, 172.0]",3,51,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,the village of glendale crossing,,,,,London,3539036,192,42.94,-81.27
541,2245 Lawrence Avenue West,Central,For-Profit,No,Yes,No,Yes,Etobicoke, M9P3W3,23,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,the village of humber heights,20,6,9,Active,Toronto,3520005,192,43.70,-79.53
542,60 Woodlawn Road East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Guelph, N1H8M8,109,"(46.0, 172.0]",3,42,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,the village of riverside glen,0,0,<5,Active,Guelph,3523008,192,43.57,-80.27
543,425 Great Lakes Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6R2W8,28,"(21.0, 31.0]",1,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,the village of sandalwood park,,,,,Brampton,3521010,120,43.74,-79.77
544,4100 Upper Middle Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7M4W8,30,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,the village of tansley woods,,,,,Burlington,3524002,144,43.38,-79.80
545,3800 Brock Street North,Central East,For-Profit,No,Yes,Yes,Yes,Whitby, L1R3A5,35,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,the village of taunton mills,,,,,Whitby,3518009,120,43.91,-78.96
546,1620 Upper Wentworth Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9B2W3,26,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,the village of wentworth heights,0,0,<5,Active,Hamilton,3525005,120,43.20,-79.87
547,695 Block Line Road,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Kitchener, N2E3K1,36,"(31.0, 46.0]",2,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,the village of winston park,<5,0,0,Active,Kitchener,3530013,95,43.41,-80.50
548,101-10Th Street,South West,For-Profit,No,Yes,Yes,Yes,Hanover, N4N1M9,35,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,the village seniors community,,,,,Hanover,3542029,70,44.15,-81.04
549,1430 Upper Wellington Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9A5H3,40,"(31.0, 46.0]",2,24,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,the wellington nursing home,,,,,Hamilton,3525005,102,43.21,-79.88
550,725 Coursol,North East,Non-Profit,No,Yes,No,Yes,Sturgeon Falls, P2B2Y6,14,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,the west nipissing general hospital,,,,,West Nipissing / Nipissing Ouest,3548055,48,46.37,-79.92
551,1860 Lawrence Avenue East,Central East,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1R5B1,56,"(46.0, 172.0]",3,29,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,the wexford,,0,,Inactive,Toronto,3520005,166,43.74,-79.30
552,13837 Yonge Street,Central,For-Profit,No,Yes,No,Yes,Aurora, L4G3G8,23,"(21.0, 31.0]",1,15,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,the willows estate nursing home,,,,,Aurora,3519046,84,43.97,-79.46
553,920 Pelham Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Welland, L3C1Y5,20,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,the woodlands of sunset,,0,,Inactive,Pelham,3526028,121,43.02,-79.29
554,1 Overland Drive,Central,Non-Profit,No,Yes,Yes,No,North York, M3C2C3,16,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,thompson house,,,,,Toronto,3520005,136,43.73,-79.35
555,186 Thornton Road South,Central East,For-Profit,No,Yes,Yes,Yes,Oshawa, L1J5Y2,42,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,thorntonview,,,,,Oshawa,3518013,154,43.89,-78.89
556,16 Fort Street P.O. Box 160,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Tilbury, N0P2L0,33,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,tilbury manor nursing home,,,,,Chatham-Kent,3536020,75,42.26,-82.43
557,59 Lawson Road,Central East,Non-Profit,Yes,Yes,No,No,Toronto, M1C2J1,17,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,tony stacey centre for veterans' care,<5,0,0,Active,Toronto,3520005,100,43.78,-79.16
558,7650 Snake Island Road,Champlain,Non-Profit,Yes,Yes,Yes,No,Metcalfe, K0A2P0,21,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,township of osgoode care centre,,,,,Ottawa,3506008,100,45.22,-75.50
559,195 Bay Street,South East,For-Profit,No,Yes,Yes,Yes,Trenton, K8V1H9,45,"(31.0, 46.0]",2,37,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,trent valley lodge,,,,,Quinte West,3512015,102,44.10,-77.56
560,550 Philip Place,South West,For-Profit,No,Yes,Yes,Yes,Kincardine, N2Z3A6,23,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,trillium court,,,,,Kincardine,3541024,40,44.18,-81.62
561,12 Grace Avenue,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,Orillia, L3V2K2,23,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,trillium manor home for the aged,,,,,Orillia,3543052,122,44.63,-79.43
562,800 Edgar Street,South East,For-Profit,Yes,Yes,Yes,Yes,Kingston, K7M8S4,81,"(46.0, 172.0]",3,40,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,trillium retirement and care community,,,,,Kingston,3510010,190,44.25,-76.55
563,1221 Michigan Avenue,Erie St. Clair,For-Profit,Yes,Yes,No,Yes,Sarnia, N7S3Y3,36,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,trillium villa nursing home,,,,,Sarnia,3538030,152,43.00,-82.36
564,2727 Kingsway Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2C1A7,54,"(46.0, 172.0]",3,21,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,trinity village care centre,29,14,38,Active,Kitchener,3530013,150,43.43,-80.44
565,200 Dawes Road,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M4C5M8,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,true davidson acres,,,,,Toronto,3520005,187,43.70,-79.30
566,70 Kawehnoke Apartments Road,Champlain,Non-Profit,No,Yes,No,Yes,Akwesasne, K6H5R7,21,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,tsiionkwanonhsote,,,,,Akwesasne (Part) 59,3501007,50,45.00,-74.69
567,312 Queenston Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,St Catharines, L2P2X4,15,"(0.0, 21.0]",0,5,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,tufford nursing home,,,,,St. Catharines,3526053,65,43.16,-79.22
568,133 Kennedy Road South,Central West,For-Profit,Yes,Yes,Yes,Yes,Brampton, L6W3G3,52,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,tullamore care community,,,,,Brampton,3521010,159,43.68,-79.74
569,1310 Murphy Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S6K5,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,twin lakes terrace long term care community,,,,,Sarnia,3538030,60,43.00,-82.37
570,1360 Maryhill Road,Waterloo Wellington,For-Profit,No,Yes,No,No,Maryhill, N0B2B0,18,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,twin oaks of maryhill,0,0,<5,Active,Woolwich,3530035,31,43.54,-80.39
571,1060 Eglinton Avenue East,Mississauga Halton,For-Profit,No,Yes,No,Yes,Mississauga, L4W1K3,48,"(46.0, 172.0]",3,22,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,tyndall nursing home,,,,,Mississauga,3521005,151,43.63,-79.63
572,60 Richview Road,Central,Non-Profit,No,Yes,Yes,Yes,Etobicoke, M9A5E4,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,ukrainian canadian care centre,25,<5,<5,Active,Toronto,3520005,152,43.68,-79.52
573,4300 Highway #7,Central,Non-Profit,No,Yes,Yes,Yes,Unionville, L3R1L8,33,"(31.0, 46.0]",2,15,"(11.0, 16.0]",1,11,"(7.0, 11.0]",2,union villa,0,0,<5,Active,Markham,3519036,160,43.86,-79.31
574,4024 Twenty-Third Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Vineland, L0R2C0,25,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,united mennonite home,,,,,Lincoln,3526057,128,43.16,-79.39
575,272 Wellington Street P. O. Box 1390,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Niagara-On-The-Lake, L0S1J0,24,"(21.0, 31.0]",1,11,"(0.0, 11.0]",0,7,"(5.0, 7.0]",1,upper canada lodge,,,,,Niagara-on-the-Lake,3526047,80,43.25,-79.07
576,88 Mintha Street P. O. Box 880,Champlain,Non-Profit,No,Yes,No,Yes,Barry's Bay, K0J1B0,21,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,valley manor nursing home,,,,,Madawaska Valley,3547030,90,45.49,-77.69
577,6400 Valley Way,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Niagara Falls, L2E7E3,31,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,valley park lodge,,,,,Niagara Falls,3526043,65,43.10,-79.10
578,350 Burwell Road,South West,Municipal,Yes,Yes,Yes,Yes,St. Thomas, N5P0A3,33,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,valleyview home,,,,,St. Thomas,3534021,136,42.80,-81.16
579,541 Finch Avenue West,Central,Non-Profit,No,Yes,No,No,North York, M2R3Y3,57,"(46.0, 172.0]",3,23,"(16.0, 23.0]",2,15,"(11.0, 44.0]",3,valleyview residence,<5,<5,<5,Active,Toronto,3520005,174,43.77,-79.45
580,80 Allan Drive,Central West,Non-Profit,No,Yes,No,Yes,Bolton, L7E1P7,14,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,vera m. davis community care centre,,,,,Caledon,3521024,64,43.87,-79.72
581,914 Bathurst Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R3G5,21,"(0.0, 21.0]",0,15,"(11.0, 16.0]",1,12,"(11.0, 44.0]",3,vermont square,<5,0,<5,Active,Toronto,3520005,130,43.67,-79.41
582,176 Victoria Avenue North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8L5G1,18,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,victoria gardens long term care,,,,,Hamilton,3525005,76,43.26,-79.85
583,220 Angeline Street South,Central East,Municipal,Yes,Yes,Yes,Yes,Lindsay, K9V4R2,45,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,victoria manor home for the aged,,,,,Kawartha Lakes,3516010,166,44.34,-78.74
584,78 Ross Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N1G3,35,"(31.0, 46.0]",2,22,"(16.0, 23.0]",2,19,"(11.0, 44.0]",3,victoria village manor,,,,,Barrie,3543042,128,44.39,-79.70
585,40 Playfair Avenue,Central,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6B2P9,52,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,villa colombo homes for the aged,9,<5,11,Active,Toronto,3520005,391,43.71,-79.46
586,"10443 Highway 27, Kleinburg",Central,Non-Profit,No,Yes,Yes,Yes,Vaughan, L0J1C0,45,"(31.0, 46.0]",2,40,"(23.0, 86.0]",3,29,"(11.0, 44.0]",3,villa colombo seniors centre (vaughan),24,11,16,Active,Vaughan,,160,43.84,79.63
587,175 Forum Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Mississauga, L4Z4E5,38,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,villa forum,37,10,20,Active,Mississauga,3521005,160,43.61,-79.65
588,40 Friuli Court,Central,Non-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L9T3,34,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,villa leonardo gambin,31,11,23,Active,Vaughan,3519028,168,43.77,-79.57
589,1026 Baseline Road,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K2C0A6,53,"(46.0, 172.0]",3,40,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,villa marconi,,0,,Inactive,Ottawa,3506008,128,45.37,-75.73
590,241 Eighth Street P.O. Box 280,North East,Non-Profit,No,Yes,Yes,Yes,Cochrane, P0L1C0,22,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,villa minto,,,,,Cochrane,3556042,33,49.07,-81.02
591,9 Myrtle Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Ridgetown, N0P2C0,15,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,village on the ridge,,,,,Chatham-Kent,3536020,40,42.44,-81.88
